cpu_usage,network_usage,data_transfer_gb,active_hours,emission_estimate,label
22,180,7,10,4.61,1
36,87,41,5,4.87,1
63,144,12,18,5.37,1
71,112,34,10,6.07,1
59,180,20,3,6.37,1
88,91,14,16,5.16,1
45,156,50,5,6.97,1
91,88,48,18,6.89,1
56,25,29,24,3.63,1
15,161,46,8,5.97,1
10,151,3,12,3.47,0
69,93,20,13,4.93,1
45,155,6,11,4.75,1
48,94,20,19,4.32,1
45,36,37,21,3.92,1
22,107,49,9,5.25,1
62,176,3,2,5.53,1
65,117,22,4,5.39,1
74,121,28,2,6.04,1
78,51,11,12,3.91,1
66,45,41,5,4.93,1
63,135,38,22,6.49,1
52,50,3,15,2.71,0
43,85,13,15,3.64,1
55,190,9,8,5.9,1
78,108,40,24,6.5,1
18,100,26,4,3.84,1
27,35,23,5,2.66,0
57,41,7,15,2.88,0
31,190,26,18,6.03,1
74,165,15,1,6.27,1
85,199,8,6,6.93,1
10,83,8,24,2.36,0
28,87,9,23,3.03,0
9,128,39,5,4.78,1
82,200,48,22,8.86,1
10,111,23,15,3.67,1
89,157,49,24,8.26,1
67,131,23,9,5.78,1
93,102,13,16,5.48,1
75,43,21,4,4.16,1
50,49,36,18,4.28,1
38,31,47,5,4.11,1
50,144,15,20,5.13,1
76,184,12,17,6.56,1
72,32,14,10,3.5,0
71,20,39,24,4.48,1
86,199,13,8,7.21,1
19,51,44,15,3.79,1
80,198,10,17,6.86,1
85,174,16,23,6.83,1
38,80,30,5,4.24,1
67,66,36,20,5.13,1
83,127,17,1,5.88,1
11,100,12,24,2.93,0
63,84,41,23,5.62,1
27,152,38,18,5.75,1
76,162,37,14,7.37,1
74,192,1,6,6.11,1
39,186,11,10,5.44,1
15,58,10,24,2.11,0
17,178,16,10,4.87,1
67,63,15,3,4.02,1
70,116,4,17,4.62,1
53,89,8,8,3.77,1
15,178,46,17,6.31,1
42,128,29,19,5.27,1
9,193,7,15,4.48,1
22,86,20,10,3.38,0
58,104,10,5,4.32,1
8,36,40,1,2.96,0
66,116,31,9,5.85,1
61,131,32,18,6.05,1
89,27,1,20,3.26,0
19,161,41,8,5.84,1
18,61,7,1,2.11,0
20,66,30,2,3.42,0
40,181,33,24,6.47,1
16,146,18,3,4.3,1
26,94,48,20,5.06,1
44,163,49,9,7.03,1
37,22,27,7,2.9,0
38,147,35,3,5.83,1
41,146,22,11,5.25,1
25,53,37,4,3.66,1
81,147,3,16,5.52,1
69,71,29,16,4.94,1
48,152,42,9,6.58,1
51,200,26,13,6.83,1
8,30,16,10,1.64,0
91,77,8,4,4.67,1
21,70,11,3,2.58,0
78,130,1,19,4.99,1
90,134,7,7,5.73,1
89,189,38,20,8.35,1
75,88,37,13,5.86,1
49,72,33,5,4.56,1
45,158,17,17,5.36,1
84,29,1,11,3.15,0
89,174,25,12,7.4,1
38,186,16,1,5.66,1
86,74,33,3,5.71,1
68,135,30,1,6.24,1
5,111,47,15,4.72,1
12,192,8,13,4.6,1
40,70,27,15,3.95,1
69,177,10,22,6.11,1
17,199,42,4,6.59,1
71,153,36,3,6.99,1
9,120,12,7,3.27,0
34,138,9,13,4.23,1
23,82,13,10,2.98,0
10,194,36,5,5.98,1
55,190,43,11,7.6,1
82,157,35,1,7.35,1
59,132,48,16,6.81,1
52,29,32,17,3.74,1
91,77,38,11,6.17,1
89,36,24,3,4.59,1
13,56,21,7,2.56,0
82,102,37,13,6.35,1
81,69,45,12,6.06,1
48,155,35,7,6.29,1
14,183,35,3,5.83,1
26,110,18,7,3.88,1
74,45,7,8,3.47,0
65,51,29,12,4.42,1
18,122,48,10,5.38,1
23,101,42,21,4.81,1
62,136,50,7,7.08,1
64,163,23,23,6.33,1
84,106,36,13,6.44,1
10,85,23,7,3.15,0
30,129,28,3,4.88,1
85,33,39,19,5.16,1
24,70,29,10,3.57,1
90,85,34,19,6.1,1
77,141,11,18,5.68,1
63,171,17,17,6.16,1
24,130,8,15,3.72,1
46,119,21,24,4.81,1
52,167,3,18,5.05,1
84,167,2,3,5.96,1
50,142,24,24,5.54,1
41,156,14,4,5.05,1
10,175,8,11,4.2,1
19,188,34,7,6.03,1
65,158,24,3,6.31,1
29,81,24,8,3.69,1
36,200,33,20,6.73,1
88,40,10,13,3.94,1
86,150,21,14,6.63,1
38,30,32,7,3.34,0
74,32,12,10,3.46,0
47,171,36,11,6.63,1
55,34,5,4,2.58,0
19,156,19,19,4.64,1
44,159,7,4,4.85,1
62,67,50,7,5.7,1
17,93,19,4,3.32,0
12,149,13,10,3.99,1
68,58,4,1,3.4,0
56,103,17,22,4.59,1
31,157,20,24,5.07,1
46,52,41,1,4.47,1
34,95,33,14,4.57,1
60,191,11,14,6.17,1
95,23,40,15,5.31,1
59,98,50,11,6.23,1
81,147,21,13,6.42,1
29,65,31,20,3.72,1
46,137,39,16,6.07,1
45,104,35,14,5.18,1
47,27,36,4,3.75,1
94,116,18,16,6.04,1
50,110,14,10,4.4,1
8,114,42,6,4.62,1
87,106,45,15,6.98,1
79,93,32,12,5.83,1
91,36,12,17,4.05,1
91,44,1,10,3.66,1
79,24,41,14,4.9,1
78,181,2,14,6.06,1
62,35,47,12,4.91,1
9,142,19,10,4.06,1
67,98,50,23,6.47,1
88,46,7,4,3.91,1
69,125,47,14,6.92,1
95,120,16,8,6.05,1
47,21,41,16,3.88,1
85,102,36,13,6.39,1
58,171,4,4,5.36,1
